"name"	"number"
"  19、王安石的名句不畏浮云遮望眼的下一句是。  A、两山排闼送青来  B、尚疑身属半山园  C、闻说鸡鸣见日升  D、自缘身在最高层  "	"D自缘身在最高层"
"  20、下面诗句中   不是描写江苏镇江的景观。出题：江苏省镇江市京口区正东路街道  推荐：江苏学习平台  A、海日生残夜江春入旧年  B、洛阳亲友如相问一片冰心在玉壶  C、何处望神州满眼风光北固楼  D、水光潋滟晴方好山色空蒙雨亦奇  "	"D水光潋滟晴方好，山色空蒙雨亦奇"
"  21、纳税人的子女接受全日制学历教育的相关支出按照每个子女每月元的标准定额扣除。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、800  B、1000  C、1200  D、2000  "	"B1000"
"  22、以下著作中认为数学是天地万物最根本的东西是四时之终始万物之祖宗。出题：山东科技报社  推荐：山东学习平台  A、《海岛算经》  B、《周髀算经》  C、《九章算术》  D、《孙子算经》  "	"D《孙子算经》"
"  23、奥运五环旗中的黄色环代表。出题：泰安市岱岳区  推荐：山东学习平台  A、美洲  B、欧洲  C、非洲  D、亚洲  "	"D亚洲"
"  24、2018年11月6日和7日习近平总书记在上海考察时强调垃圾分类工作就是    ！垃圾综合处理需要全民参与上海要把这项工作抓紧抓实办好。出题：中共上海市虹口区委宣传部  推荐：上海学习平台  A、新时尚  B、新风尚  C、新潮流  D、新热潮  "	"A新时尚"
"  25、当打开房门闻到燃气气味时首先应迅速以防止引起火灾。出题：山东省消防总队  推荐：山东学习平台  A、打开燃气灶具查找漏气部位  B、打开门窗通风  C、拨打119向消防队报警  "	"B打开门窗通风"
"  26、我国考古中发现目前世界上最早的纸是时期的。出题：山东科技报社  推荐：山东学习平台  A、东汉  B、商朝  C、西周  D、西汉  "	"D西汉"
"  27、汉字产生的标志是殷商后期所形成的初步定型的甲骨文其后经过了三千多年的演变形成了我们今天的文字。下列汉字演变过程的时间排序正确的是。出题：新疆兵团第四师党委宣传部  推荐：新疆兵团学习平台  A、隶书、小篆、楷书、行书  B、小篆、隶书、行书、楷书  C、小篆、隶书、楷书、行书  "	"C小篆、隶书、楷书、行书"
"  28、是中国特色社会主义的本质要求和重要保障。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、全面依法治国  B、全面从严治党  C、全面发展经济  D、全面可持续发展  "	"A全面依法治国"
"  29、十月革命一声炮响给中国送来了马克思列宁主义。十月革命后以    为代表的先进分子开始在中国传播马克思主义。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、梁启超  B、康有为  C、章炳麟  D、李大钊  "	"D李大钊"
"  30、苏州的古建筑除了粉墙黛瓦、飞檐翘角还有保存相对完好的纯居住民国建筑群、同益里电视剧《都挺好》中的苏家老宅取景于此。出题：苏州市图书馆  推荐：江苏学习平台  A、同德里  B、同福里  C、同运里  D、同善里  "	"A同德里"
"  31、山近月远觉月小便道此山大于月。若有人眼大如天当见山高月更阔。这是明代思想家王守仁的《蔽月山房》与此中哲理最接近的是。  A、不识庐山真面目只缘身在此山中。  B、若言声在指头上何不于君指上听  C、问渠那得清如许为有源头活水来。  D、纸上得来终觉浅绝知此事要躬行。  "	"A不识庐山真面目，只缘身在此山中。"
"  32、饮酒后驾驶机动车的一次记分。出题：公安部交通管理局  A、2  B、3  C、6  D、12  "	"D12"
"  33、《中华人民共和国国家安全法》规定各部门按照职责分工贯彻执行国家安全方针政策和法律法规管理指导本系统、本领域国家安全工作。出题：司法部全国普法办  A、全国人民代表大会  B、全国人民代表大会常务委员会  C、国家安全委员会  D、中央国家机关  "	"D中央国家机关"
"  34、在我国有权发布通缉令的是。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、监察部  B、公安机关  C、人民检察院  D、人民法院  "	"B公安机关"
"  35、《孟子•尽心》中提出君子有三乐以下不属于三乐的是。出题：山东科技报社  推荐：山东学习平台  A、父母俱存兄弟无故  B、聚钱财而有之  C、仰不愧于天俯不怍于人  D、得天下英才而教育之  "	"B聚钱财而有之"
"  36、《营造法式》堪称古代建筑学的一部百科全书是由北宋建筑师组织编撰的。出题：山东科技报社  推荐：山东学习平台  A、李诫  B、李春  C、雷发达  D、刘秉忠  "	"A李诫"
"  37、2014年9月5日习近平总书记在庆祝全国人民代表大会成立周年大会上的讲话指出实践充分证明人民代表大会制度是符合中国国情和实际、体现社会主义国家性质、保证人民当家做主、保障实现中华民族伟大复兴的好制度。  A、55  B、60  C、65  "	"B60"
"  38、许多人喜欢面食制作馒头等面食时需要用到小苏打下列哪个是小苏打的学术名称：。出题：常熟理工学院化学与材料工程学院  推荐：江苏学习平台  A、氧化钠  B、氢氧化钠  C、碳酸氢钠  D、碳酸钠  "	"C碳酸氢钠"
"  39、《中华人民共和国国家安全法》规定公民和组织因支持、协助国家安全工作导致财产损失的按照国家有关规定给予。出题：司法部  全国普法办  A、补偿  B、赔偿  C、补助  D、奖励  "	"A补偿"
"  40、苦短日高起从此君王不早朝请选择正确的词补全诗句。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、春风  B、春光  C、春宵  D、春秋  "	"C春宵"
"  41、苏南四小龙是分别。出题：常熟理工学院  推荐：江苏学习平台  A、常熟  太仓  张家港  昆山  B、昆山  江阴  张家港  常熟  C、张家港  太仓  昆山  江阴  "	"B昆山"
"  42、新年前夕国家主席习近平通过中央广播电视总台和互联网发表了二〇一九年新年贺词。在新年贺词中习近平主席说道：岁月不居时节如流。这句话出自。出题：中共吉林省省委宣传部  推荐：吉林学习平台  A、《老子》  B、《春秋传》  C、《论盛孝章书》  D、《礼记》  "	"C《论盛孝章书》"
"  43、以下是扬州的古称。出题：江苏省仪征市月塘镇人民政府  推荐：江苏学习平台  A、广陵  B、江都  C、维扬  D、以上都是  "	"D以上都是"
"  44、唐代有一种诗体叫长吉体长吉体诗善于运用神话传说和怪诞、华美的语汇创造出异想天开、从未有过的意象。开创长吉体诗歌的是。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、李商隐  B、李贺  C、李白  D、李清照  "	"B李贺"
"  45、中医著名古籍《黄帝内经》约成书于什么时期出题：西部网  推荐：陕西学习平台  A、春秋战国时期  B、魏晋时期  C、唐宋时期  "	"A春秋战国时期"
"  46、稻、黍、稷、麦、菽均是我国种植历史悠久的农作物其中的菽是指。出题：苏州市农业技术推广中心  推荐：江苏学习平台  A、叶菜类  B、薯类  C、豆类  D、高粱  "	"C豆类"
"  47、请选择正确的词语补全诗句：中华多奇志不爱红装爱武装。出题：南开大学文学院  A、巾帼  B、女儿  C、儿女  D、女子  "	"C儿女"
"  48、我国学者研究的多节点网络取得基础性突破。出题：科技部引智司  A、电子  B、原子  C、质子  D、量子  "	"D量子"
"  49、中国古代四大发明中为哥伦布、麦哲伦实现远洋航行提供重要技术保证的是。出题：山东科技报社  推荐：山东学习平台  A、火药  B、指南针  C、印刷术  D、造纸术  "	"B指南针"
"  50、杨柳青青江水平闻郎江上唱歌声。东边日出西边雨道是无晴却有晴。是唐代诗人刘禹锡在所作。出题：重庆市委直属机关工委 推荐：重庆学习平台  A、忠州  B、夔州  C、巫山  D、合州  "	"B夔州"
"  51、我到过许多地方 数这个城市最年轻 它是这样漂亮 令人一见倾心 不是瀚海蜃楼 不是蓬莱仙境 它的一草一木 都由血汗凝成……著名诗人艾青的这首诗中年轻的城是指现在的。出题：新疆兵团第八师一四一团  推荐：新疆兵团学习平台  A、深圳市  B、石河子市  C、珠海市  D、上海市  "	"B石河子市"
"  52、中国历史上首次采用古今对照双色绘画的地理图是。出题：山东科技报社  推荐：山东学习平台  A、《舆地图》  B、《地形方丈图》  C、《禹贡地域图》  D、《海内华夷图》  "	"D《海内华夷图》"
"  53、长风破浪会有时直挂云帆济沧海的作者是。  A、王勃  B、杨炯  C、李白  D、杜甫  "	"C李白"
"  54、下列选项中与吟安一个字捻断数茎须的内涵表达一致的是。  A、致君尧舜上再使风俗淳  B、行行重行行与君生别离  C、夜中不能寐起坐弹鸣琴  D、两句三年得一吟双泪流  "	"D两句三年得，一吟双泪流"
"  55、董必武同志的诗句烟雨迷蒙访旧踪访的是浙江嘉兴。出题：南开大学文学院  A、东湖  B、西湖  C、太湖  D、南湖  "	"D南湖"
"  56、中国现存最早的一副山水画是。出题：山东科技报社  推荐：山东学习平台  A、《秋郊饮马图》  B、《游春图》  C、《春深高树图》  D、《荷石水禽图》  "	"B《游春图》"
"  57、个人所得税专项附加扣除中的赡养老人扣除被赡养人需年满周岁。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、50  B、55  C、60  D、65  "	"C60"
"  58、我们经常使用手机扫描二维码扫一扫这一功能使用了   识别方式。出题：中国科普研究所  A、图像识别  B、文字识别  C、语音识别  D、人脸识别  "	"A图像识别"
"  59、党员自愿多交党费不限。自愿一次多交纳元以上的党费全部上缴中央。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、5000  B、2000  C、1000  D、500  "	"C1000"
"  60、被认为是我国现存最早总结江南水稻地区栽培技术的一部农书的著作是。出题：山东科技报社  推荐：山东学习平台  A、《陈旉农书》  B、《农桑辑要》  C、《王祯农书》  D、《农政全书》  "	"A《陈旉农书》"
"  61、党的大首次提出把按劳分配和按生产要素分配结合起来。出题：中共长沙市岳麓区委宣传部  推荐：湖南学习平台  A、十四  B、十五  C、十六  D、十七  "	"B十五"
"  62、以县级以上行政区域名称冠名的地方志书、地方综合年鉴分别由本级人民政府负责工作的机构按照规划组织编纂其他组织和个人不得编纂。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、统计  B、地方志  C、发展改革  "	"B地方志"
"  63、粉身碎骨全不怕要留清白在人间写的是。出题：南开大学文学院  A、石膏  B、玉石  C、石灰  D、瓷器  "	"C石灰"
"  64、习近平总书记在讲话中使用过名句治国有常而利民为本请问此句出自《》。出题：武汉大学  推荐：湖北学习平台  A、论语  B、老子  C、孟子  D、淮南子  "	"D淮南子"
"  65、亚圣指孟子那至圣所指的儒家代表人物是。出题：山东科技报社  推荐：山东学习平台  A、孔子  B、程颐  C、朱熹  D、董仲舒  "	"A孔子"
"  66、北宋著名的书法家、文学家、茶学家亦是北宋名臣其书法自成一体为宋四家之一著有茶学专著《茶录》和果树分类学著作《荔枝谱》。推荐：福建学习平台  A、蔡襄  B、李纲  C、李贽  "	"A蔡襄"
"  67、《中华人民共和国国家安全法》规定国家建立组织专家和有关方面开展对国家安全形势的分析研判推进国家安全的科学决策。出题：司法部 全国普法办  A、国家安全决策咨询机制  B、国家安全分析机制  C、国家安全信息协调机制  D、国家安全信息评估机制  "	"A国家安全决策咨询机制"
"  68、居庙堂之高则忧其民处江湖之远则忧其君出自宋朝诗人范仲淹的。出题：山东科技报社  推荐：山东学习平台  A、《兰亭集序》  B、《醉翁亭记》  C、《岳阳楼记》  D、《滕王阁序》  "	"C《岳阳楼记》"
"  69、党纪处分决定做出后应当在内向受处分党员所在党的基层组织中的全体党员及其本人宣布是领导班子成员的还应当向所在党组织领导班子宣布并按照干部管理权限和组织关系将处分决定材料归入处分者档案。出题：辽宁省委宣传部  推荐：辽宁学习平台  A、一周  B、十个工作日  C、一个月  D、两个月  "	"C一个月"
"  70、阻碍执行紧急任务的消防车、救护车、工程抢险车、警车等车辆通行的给予处罚。出题：应急管理部消防救援局  A、劳动教养  B、十日以上拘留  C、警告或者二百元以下罚款；情节严重的处五日以上十日以下拘留可以并处五百元以下罚款  "	"C警告或者二百元以下罚款；情节严重的，处五日以上十日以下拘留，可以并处五百元以下罚款"
"  71、恸哭六军俱缟素冲冠一怒为红颜的红颜指的是。出题：南开大学文学院  A、杨玉环  B、董小宛  C、李师师  D、陈圆圆  "	"D陈圆圆"
"  72、在太阳系下列行星中卫星最多的是出题：山东科技报社  推荐：山东学习平台  A、火星  B、土星  C、木星  D、海王星  "	"C木星"
"  73、机关、单位确定、变更和解除本机关、本单位的国家秘密应当由承办人提出具体意见经审核批准。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、机关、单位主要领导  B、分管保密工作的领导  C、定密责任人  D、承办人所在部门负责人  "	"C定密责任人"
"  74、2019年1月10日一年一度的中国社会科学院考古学论坛•2018年中国考古新发现在北京举行。论坛揭晓了2018年中国考古新发现的6个入选项目其中包括四川省的。出题：四川省文化和旅游厅  推荐：四川学习平台  A、渠县城坝遗址  B、三星堆遗址  C、金沙遗址  "	"A渠县城坝遗址"
"  75、传递国家秘密载体应当通过、机要通信或者其他符合保密要求的方式进行。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、邮政特快专递  B、机要交通  C、专车派送  "	"B机要交通"
"  76、位于福建省中西北部的市是国务院批准建立的全国集体林区改革试验区有单位面积产量居世界之冠的宁化古杉木王群。出题：福建学习平台  A、宁德  B、三明  C、泉州  D、漳州  "	"B三明"
"  77、2018年国家网络安全宣传周活动主题是。出题：银川市委宣传部  推荐：宁夏学习平台  A、我身边的网络安全  B、网络安全同担网络生活共享  C、网络安全为人民网络安全靠人民  D、共建网络安全共享网络文明  "	"C网络安全为人民，网络安全靠人民"
"  78、世界环境日是每年的。出题：上海市奉贤区生态环境局  推荐：上海学习平台  A、5月6日  B、6月5日  C、6月6日  D、7月5日  "	"B6月5日"
"  79、牡丹花素来有国色天香的美称在世界上也负有盛名。著名描绘牡丹的诗句唯有牡丹真国色花开时节动京城是诗人所作。出题：山东省菏泽市文化和旅游局  推荐：山东省学习平台  A、李白  B、刘禹锡  C、韩愈  D、杜甫  "	"B刘禹锡"
"  80、国家为了公共利益的需要可以依照法律规定对土地实行征收或者征用并给予条件。出题：新疆兵团第十二师党委宣传部 推荐：新疆兵团学习平台  A、赔偿  B、补偿  C、兑换  "	"B补偿"
"  81、被马克思称为第一个人权宣言的宪法性文件是。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、美国《独立宣言》  B、法国《人权宣言》  C、英国《人身保护法》  D、英国《权利法案》  "	"A美国《独立宣言》"
"  82、俗语一问三不知出自《左传》其中的三不知具体是指。出题：山东科技报社  推荐：山东学习平台  A、天文、地理、文学  B、孔子、孟子、老子  C、事情的开始、发展、结果  D、自己的姓名、籍贯、生辰  "	"C事情的开始、发展、结果"
"  83、重庆得名至今已有800余年。下令改恭州为重庆的是。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、宋太祖赵匡胤  B、宋光宗赵惇  C、宋宁宗赵扩  D、宋高宗赵构  "	"B宋光宗赵惇"
"  84、明清笔记记载：河面船只穿行河岸行人如织如同江南水乡。 是北京最早的人工运河。出题：北京朝阳区委宣传部  推荐：北京学习平台  A、永定河  B、萧太后河  C、亮马河  "	"B萧太后河"
"  85、有些人喝品质合格的牛奶会腹痛最有可能的原因是。出题：中国科普研究所  A、牛奶过凉  B、乳糖不耐受  C、不喜欢喝造成心理压力  D、肠胃不佳  "	"B乳糖不耐受"
"  86、村、社区党支部委员会每届任期5年其他基层单位党支部委员会一般每届任期年。出题：内蒙古呼伦贝尔市直属机关工委  推荐：内蒙古学习平台  A、1  B、2  C、3  D、4  "	"C3"
"  87、尽道隋亡为此河至今千里赖通波中的此河是指。出题：江苏省扬州市江都区委宣传部  推荐：江苏学习平台  A、黄河  B、大运河  C、淮河  D、长江  "	"B大运河"
"  88、宋代著名数学家秦九韶的著作提出了正负开方术和大衍求一术。出题：山东科技报社  推荐山东学习平台  A、《海岛算经》  B、《数书九章》  C、《九章算术》  D、《孙子算经》  "	"B《数书九章》"
"  89、中国中原地区种植葡萄始于 。出题：江苏省句容市茅山镇党委 推荐：江苏学习平台  A、东汉  B、西汉  C、西晋  "	"B西汉"
"  90、我们不要过分陶醉于我们人类对自然界的胜利。对于每一次这样的胜利自然界都对我们进行报复。这个论断的提出者是。  A、马克思  B、恩格斯  C、列宁  "	"B恩格斯"
"  91、企业违反侵犯职工劳动权益的工会可以依法要求承担责任。出题：北京怀柔区总工会  推荐：北京学习平台  A、劳动合同  企业  B、集体合同  企业  C、集体合同  侵权者  D、劳动合同  侵权者  "	"B集体合同"
"  92、一般来讲涨潮和落潮的主要原因是。出题：中国科普研究所  A、地球的自转  B、月球的引力  C、太阳的引力  "	"B月球的引力"
"  93、最具有世界影响力的一部不朽医典是。它采取了析族区类振纲分目的科学分类。出题：山东科技报社  推荐：山东学习平台  A、《外科正宗》  B、《千金方》  C、《救荒本草》  D、《本草纲目》  "	"D《本草纲目》"
"  94、在中华人民共和国境内从事食品生产活动应当依法取得 出题：重庆市委直属机关工委 推荐：重庆学习平台  A、食品生产许可  B、食品流通许可  C、餐饮服务许可  "	"A食品生产许可"
"  95、人民行使国家权力的机关是全国人民代表大会和。出题：中共连云港市委宣传部 推荐：江苏学习平台  A、国务院  B、地方各级人民政府  C、地方各级人民代表大会  D、各级政治协商制度  "	"C地方各级人民代表大会"
"  96、伪造、变造或者使用伪造、变造的机动车登记证书、号牌、行使证、驾驶证的由公安机关交通管理部门予以收缴扣留该机动车处十五日以下拘留并处以两千元以上五千元以下罚款；构成犯罪的依法追究。出题：公安部交通管理局  A、民事责任  B、刑事责任  C、行政责任  "	"B刑事责任"
"  97、及时当勉励岁月不待人是的名句。出题：山东科技报社  推荐：山东学习平台  A、苏轼  B、王安石  C、崔颢  D、陶渊明  "	"D陶渊明"
"  98、生物体的组成方式从简单到复杂的排列顺序是。出题：中国科普研究所  A、细胞组织器官器官系统  B、器官系统器官组织细胞  C、组织细胞器官系统器官  D、组织细胞器官器官系统  "	"A细胞，组织，器官，器官系统"
"  99、驱逐舰采用平甲板船型的优点是。出题：泰州广播电视台 推荐：江苏学习平台  A、适合大速度航行  B、船首干舷高抗浪性好  C、船体构造简单纵向强度好  D、便于通风舰员居住性好  "	"A适合大速度航行"
"  100、在十八届中央政治局第九次集体学习时的讲话中习近平总书记指出是第一资源也是创新活动中最为活跃、最为积极的因素。  A、自然资源  B、文化资源  C、人才资源  "	"C人才资源"
"  101、在1964年全国人大三届一次会议上同志代表党和政府提出实现四个现代化奋斗目标。四个现代化具体指工业现代化、农业现代化、国防现代化、科学技术现代化。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、毛泽东  B、周恩来  C、邓小平  D、朱德  "	"B周恩来"
"  102、举世闻名的周口店北京人遗址位于北京市区。出题：北京市房山区文化和旅游局  推荐：北京学习平台  A、房山  B、朝阳  C、延庆  D、海淀  "	"A房山"
"  103、以下不属于天下之名巧—马钧发明的是。出题：山东科技报社  推荐：山东学习平台  A、新式织绫机  B、龙骨水车  C、轮转式发石机  D、锯子  "	"D锯子"
"  104、下列不属于二十四史的是。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、《左传》  B、《旧唐书》  C、《史记》  D、《明史》  "	"A《左传》"
"  105、刘禹锡的诗句芳林新叶催陈叶流水前波让后波歌颂的是。  A、自我革新的担当精神  B、坚持不懈的拼搏精神  C、无私奉献的奋斗精神  D、筚路蓝缕的建设精神  "	"A自我革新的担当精神"
"  106、我国的根本制度是。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、人民代表大会制度  B、社会主义制度  C、民主集中制  "	"B社会主义制度"
"  107、丝绸之路是指古代以中国为始发点向亚洲中部、西部及非洲等地运送丝绸等货物的商业贸易路线按运输方式可分为陆上丝绸之路和海上丝绸之路。在西汉陆上丝绸之路的起点为。出题：新疆兵团第十三师城管委  推荐：兵团第十三师学习平台  A、敦煌  B、张掖  C、金城今兰州  D、长安今西安  "	"D长安（今西安）"
"  108、下列各句所涉及的年龄其中最小的是。出题：新疆兵团第四师党委宣传部  推荐：新疆兵团学习平台  A、余自束发读书轩中  B、豆蔻梢头二月初  C、既加冠益慕圣贤之道  "	"B豆蔻梢头二月初"
"  109、根据《中华人民共和国法官法》的规定在我国法官的任职条件中关于最低年龄要求是。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、年满18周岁  B、年满23周岁  C、年满25周岁  D、年满45周岁  "	"B年满23周岁"
"  110、某托盘天平读数误差在2克以内则分析样品应至少称克才能保证称样相对误差小于1%。出题：中国科普研究所  A、50  B、100  C、150  D、200  "	"D200"
"  111、国家秘密的保密期限已满的。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、自行解密  B、机关、单位负责人批准解密  C、报上级机关批准解密  D、报保密行政管理部门批准解密  "	"A自行解密"
"  112、世界现存最大、最完整的木质结构的古代皇宫建筑群是。出题：山东科技报社  推荐：山东学习平台  A、卢浮宫  B、北京故宫  C、凡尔赛宫  D、曲阜孔庙  "	"B北京故宫"
"  113、下列作者、作品、朝代对应正确的一项是。出题：山东省临沂市河东区应急管理局  推荐：山东学习平台  A、诸葛亮-《诫子书》-汉  B、贾谊-《过秦论》-汉  C、韩愈-《秋声赋》-宋  D、王安石-《捕蛇者说》-宋  "	"B贾谊-《过秦论》-汉"
"  114、2015年中国科学家屠呦呦获得了诺贝尔生理学或医学奖这是我们中国人的骄傲。在我国古代也有一项世界医学史上的创举—麻沸散。它问世于。出题：山东科技报社  推荐：山东学习平台  A、春秋战国时期  B、秦朝  C、汉朝  D、明朝  "	"C汉朝"
"  115、离别是中国古典诗词中常用的主题以下诗句中无离别之意的是。  A、海内存知己天涯若比邻。  B、返景入深林复照青苔上。  C、莫愁前路无知己天下谁人不识君。  D、燕燕于飞差池其羽。之子于归远送于野。  "	"B返景入深林，复照青苔上。"
"  116、《中华人民共和国反恐怖主义法》规定中华人民共和国根据缔结或者参加的国际条约或者按照原则与其他国家、地区、国际组织开展反恐怖主义合作。出题：司法部全国普法办  A、互惠互利  B、平等互惠  C、平等互利  D、公平合理  "	"B平等互惠"
"  117、2005年4月25日经国务院批准将每年的确立为中国航海日作为国家的重要节日固定下来。同时也作为世界海事日在中国的实施日期。出题：河北海事局  推荐：河北学习平台  A、7月11日  B、6月11日  C、7月18日  D、6月18日  "	"A7月11日"
"  118、柴达木盆地是我国的四大盆地之一它位于我国的。出题：自然资源部地信司  中国地图出版集团  A、云贵高原  B、青藏高原  "	"B青藏高原"
"  119、永定河是北京的母亲河全河流经山西、內蒙古、河北、北京、天津五省市入。出题：北京市水务局  推荐：北京学习平台  A、渤海  B、黄海  C、青海  "	"A渤海"
"  120、关于物质的分子下列说法最正确的是。出题：中国科普研究所  A、物质中能够独立存在并保持该物质一切化学性质的最小微粒  B、组成原子的基本微粒由原子核和核外电子组成  C、与物质的化学性质有关是构成物质的基本微粒  "	"A物质中能够独立存在并保持该物质一切化学性质的最小微粒"
"  121、我家洗砚池边树朵朵花开淡墨痕。不要人夸好颜色只留清气满乾坤。描写的植物是。  A、梨花  B、菊花  C、梅花  D、玉兰  "	"C梅花"
"  122、京剧脸谱是一种具有中国文化特色的特殊化妆方法。其中表示忠勇侠义的是。出题：山东科技报社  推荐：山东学习平台  A、红色  B、黑色  C、黄色  D、蓝色  "	"A红色"
"  123、风雨巴山遗恨远至今人念大将军说的人物是。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、邹容  B、张自忠  C、冯玉祥  D、刘湘  "	"A邹容"
"  124、2018年10月8日诺贝尔经济学奖揭晓授予美国经济学家威廉•诺德豪斯和保罗•罗默以表彰他们在作出的突出贡献。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、可持续经济增长研究领域  B、行为经济  C、进化与经济理论  D、成本的递进  "	"A可持续经济增长研究领域"
"  125、按吨位分吨位以上才可算是大型航空母舰。出题：泰州广播电视台  推荐：江苏学习平台  A、4万  B、5万  C、6万  D、7万  "	"C6万"
"  126、股票市场上常常被提到的IPO的意思是。  A、首次公开发行即公司第一次公募股票  B、公司第一次私募股票  C、已有股票的公司再次公募股票  D、已有股票的公司再次私募股票  "	"A首次公开发行，即公司第一次公募股票"
"  127、我国的京剧脸谱色彩含义丰富红色一般表示忠勇侠义白色一般表示阴险奸诈那么黑色一般表示。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、舍己为人  B、不徇私情  C、忠耿正直  D、大义灭亲  "	"C忠耿正直"
"  128、关于科学的概念下列选项不正确的是。出题：中国科普研究所  A、科学是反映客观事实和规律的知识体系  B、科学是人对客观世界的认识  C、科学是反映客观事实和规律的知识  D、科学是一种很快带来经济效益的生产力  "	"D科学是一种很快带来经济效益的生产力"
